id,attention,batch,lr,note,time
17895,True,256,0.01,
13897,True,32,0.01,
58444,True,128,0.003,,2023-10-13 13:39:30
53852,True,128,0.003,,2023-10-13 13:45:59
47314,True,256,0.005,,2023-10-15 16:11:12
50445,True,512,0.005,,2023-10-15 16:57:15
54236,True,512,0.005,,2023-10-15 16:58:51
87576,True,512,0.005,,2023-10-15 16:59:19
56653,True,512,0.005,,2023-10-15 17:01:58
97274,True,512,0.005,,2023-10-15 17:05:33
70659,True,512,0.005,,2023-10-16 12:00:39
18271,True,512,0.005,,2023-10-16 12:06:16
41964,True,512,0.005,,2023-10-16 12:11:11
98161,True,512,0.005,,2023-10-16 12:25:06
